year,make,model,class,enginesize,fuelusecity,fuelusehwy,fueluseboth,mpgboth,co2emissions,cylinders468,cylinder4,cylinder6,cylinder8,trans2,fuel
2015,BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,7.59999990463257,5.5,6.69999980926514,42,181,4,1,0,0,1,3
2015,BMW,328i SEDAN,COMPACT,2,10,6.5,8.39999961853027,34,193,4,1,0,0,1,2
2015,BMW,328i SEDAN,COMPACT,2,10.6999998092651,6.90000009536743,9,31,207,4,1,0,0,2,2
2015,BMW,328i xDRIVE SEDAN,COMPACT,2,10.6000003814697,7.19999980926514,9.10000038146973,31,209,4,1,0,0,1,2
2015,BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,10.6000003814697,7.19999980926514,9.10000038146973,31,209,4,1,0,0,1,2
2015,BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2,10.6000003814697,7.19999980926514,9.10000038146973,31,209,4,1,0,0,1,2
2015,BMW,335i SEDAN,COMPACT,3,11.3999996185303,7.40000009536743,9.60000038146973,29,221,6,0,1,0,1,2
2015,BMW,335i SEDAN,COMPACT,3,11.5,7.80000019073486,9.80000019073486,29,225,6,0,1,0,2,2
2015,BMW,335i xDRIVE SEDAN,COMPACT,3,11.8999996185303,7.80000019073486,10,28,230,6,0,1,0,1,2
2015,BMW,335i xDRIVE SEDAN,COMPACT,3,12,8.30000019073486,10.3000001907349,27,237,6,0,1,0,2,2
2015,BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,11.8999996185303,7.80000019073486,10,28,230,6,0,1,0,1,2
2015,BMW,428i CABRIOLET,SUBCOMPACT,2,10.3999996185303,7.09999990463257,8.89999961853027,32,205,4,1,0,0,1,2
2015,BMW,428i COUPE,COMPACT,2,10,6.5,8.39999961853027,34,193,4,1,0,0,1,2
2015,BMW,428i COUPE,COMPACT,2,10.6999998092651,6.90000009536743,9,31,207,4,1,0,0,2,2
2015,BMW,428i GRAN COUPE,COMPACT,2,10.3999996185303,7.09999990463257,8.89999961853027,32,205,4,1,0,0,1,2
2015,BMW,428i GRAN COUPE,COMPACT,2,10.8999996185303,6.80000019073486,9,31,207,4,1,0,0,2,2
2015,BMW,428i xDRIVE CABRIOLET,SUBCOMPACT,2,11.1999998092651,7.5,9.60000038146973,29,221,4,1,0,0,1,2
2015,BMW,428i xDRIVE COUPE,COMPACT,2,10.6000003814697,7.19999980926514,9.10000038146973,31,209,4,1,0,0,1,2
2015,BMW,428i xDRIVE GRAN COUPE,COMPACT,2,10.6000003814697,7.19999980926514,9.10000038146973,31,209,4,1,0,0,1,2
2015,BMW,435i CABRIOLET,SUBCOMPACT,3,11.8000001907349,7.59999990463257,9.89999961853027,29,228,6,0,1,0,1,2
2015,BMW,435i COUPE,COMPACT,3,11.3999996185303,7.40000009536743,9.60000038146973,29,221,6,0,1,0,1,2
2015,BMW,435i COUPE,COMPACT,3,11.5,7.80000019073486,9.80000019073486,29,225,6,0,1,0,2,2
2015,BMW,435i GRAN COUPE,COMPACT,3,11.3999996185303,7.40000009536743,9.60000038146973,29,221,6,0,1,0,1,2
2015,BMW,435i xDRIVE CABRIOLET,SUBCOMPACT,3,12.1000003814697,8.10000038146973,10.3000001907349,27,237,6,0,1,0,1,2
2015,BMW,435i xDRIVE COUPE,COMPACT,3,11.8999996185303,7.80000019073486,10,28,230,6,0,1,0,1,2
